"Ranking","Name","Result_m","Announced","Points","Penalties","Date","Place","Country"
2828,"Rob DE JONGE ",25,30,20,5,2003-06-29,"Round 5 of the Belgium Cup 2003","Netherlands"
2829,"Ross MATTHEWS ",25,25,25,0,2009-07-19,"Salt Free Double Dip 2009","United Kingdom"
2830,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2831,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2832,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2833,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2834,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2835,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2836,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2837,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2838,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2839,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2840,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2841,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2842,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2843,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2844,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2845,"Masako ISHIKAWA ",25,25,25,0,2012-10-20,"Manazuru freediving classic 2012","Japan"
2846,"Macarena BENITEZ ",25,25,25,0,2011-04-17,"Vertical Blue 2011","Chile"
2847,"Eva JOHNSEN ",25,25,25,0,2006-08-19,"Nordic Deep 2006","Denmark"
2848,"Ariana PANTAZI ",25,25,25,0,2006-10-21,"AIDA Cyprus 1st National Open","Cyprus"
2849,"Yumiko UTSUMI ",25,25,25,0,2008-08-10,"Deepwater Okinawa Cup 2008","Japan"
2850,"Aya MIZUMURA ",25,25,25,0,2008-10-12,"10th Manazuru Freediving Classic","Japan"
2851,"Takanori KUMAZAWA ",25,25,25,0,2006-08-27,"Okinawa Freedive Invitational 2006","Japan"
2852,"Takanori KUMAZAWA ",25,25,25,0,2014-10-19,"JAS depth competition in Shishihama","Japan"
2853,"Mandy BUCKLEY ",25,25,25,0,2009-07-19,"Salt Free Double Dip 2009","United Kingdom"
2854,"Shiro KAWAMURA ",25,30,19,6,2006-08-27,"Okinawa Freedive Invitational 2006","Japan"
2855,"Sayo MIURA ",25,25,25,0,2008-08-10,"Deepwater Okinawa Cup 2008","Japan"
2856,"Yuko SENGA ",25,25,25,0,2008-08-10,"Deepwater Okinawa Cup 2008","Japan"
2857,"Sawako MARUYAMA ",25,25,25,0,2013-09-29,"JAS official depth competition 2013","Japan"
2858,"Hiroshi SUGAWA ",25,25,25,0,2010-09-25,"Attack 25m","Japan"
2859,"Feargus CALLAGY ",25,25,25,0,2008-07-12,"Salt Free Double Dip 2008","Ireland"
2860,"Lars NORDGREN ",25,25,25,0,2007-09-02,"FSE Stockholm Beginners Event","Sweden"
2861,"Nathalie HEBERT ",25,25,25,0,2012-08-11,"Canadian Nationals Depth Competition","Canada"
2862,"Nobuaki MATSUHASHI ",25,25,25,0,2007-11-24,"Big Blue 2nd Official Competition","Japan"
2863,"Ross ELLIOT ",25,25,25,0,2008-07-12,"Salt Free Double Dip 2008","United Kingdom"
2864,"Yui TAKAGI ",25,25,25,0,2008-08-10,"Deepwater Okinawa Cup 2008","Japan"
2865,"Barbara HÜGLI ",25,25,25,0,2009-07-25,"Swiss Depth Championship 2009","Switzerland"
2866,"Shirly OPPENHIEN ",25,25,25,0,2009-09-06,"Triple Depth 2009","Israel"
