Ranking,Name,Result_min,Announced,Points,Penalties,Date,Place,Country
11093,Marie-AgnÃ¨s BARRANS ,3:46,120,45,0,8/02/2004,1Ã¨re Manche Coupe d AIDA France 2004,France
11094,Adrian RAMIREZ ,3:46,140,45,0,10/07/2005,3er Indoors Nacional 2005,Mexico
11095,Jarmila SLOVENCÃçKOVÃÅ ,3:46,180,45,0,6/11/2011,Hydro Dynamic 2011 Austrian Championship,Czech Republic
11096,Martine IIJIMA ,3:46,121,45,0,31/05/2014,Freediving Indoor Cup 2014 in Tateyama,Japan
11097,Carolina SCHRAPPE ,3:46,225,45,0,7/05/2006,4th Static Tournament Rio Boat Show,Brazil
11098,Martine TOGNOLINI ,3:46,90,45,0,27/01/2007,6Ã¨me Coupe des Dauphins,Switzerland
11099,Tijana ZUNI? ,3:46,60,45,0,22/11/2008,4th Submania Apnea Cup,Serbia
11100,Maria Azucena MARTINEZ ,3:46,180,45,0,20/04/2013,Olmeca Open Apnea Veracruz 2013,Mexico
11101,Alexey ROMANOV ,3:46,150,45,0,24/04/2010,Freediving Moscow Cup 2010,Russian Federation
11102,Vladimir ILIC ,3:46,90,45,0,7/12/2008,(in progress) Serbian Winter Apnea Cup,Serbia
11103,Benjamin MASSAL ,3:46,165,45,0,26/04/2009,Coupe des Plongeurs Libres 2009,France
11104,Arnaud AUJOULAT ,3:46,120,45,0,9/05/2010,Coupe des Plongeurs Libres 2010,France
11105,Cedric GODEFROID ,3:46,60,45,0,21/11/2010,Belgium Cup 2010 - Open Freediving Liege,Belgium
11106,Katarzyna TALAGA ,3:46,180,45,0,5/12/2010,Silesian Freediving Cup 2010,Poland
11107,Elena SAMOHVALOVA ,3:46,5,45,0,12/04/2014,Russian championship,Russian Federation
11108,Martin MALI ,3:46,150,45,0,25/11/2011,Slovenian national championship 2011,Slovenia
11109,Jana BALOUNOVA ,3:46,60,45,0,11/11/2012,Hydro Dynamic - Austrian Championship 2012,Czech Republic
11110,Nuriya ASHIMBAEVA ,3:46,60,45,0,23/03/2012,Open Moscow Cup,Russian Federation
11111,Margarita PINASHKINA ,3:46,120,45,0,1/08/2015,Minsk Open Freediving Cup,Russian Federation
11112,Sandra LINDBERG ,3:46,1,45,0,10/10/2014,HÃƒÂ¶stapneiaden,Sweden
11113,Elena BONDAREVA ,3:46,150,45,0,8/02/2014,RIGA FREEDIVING CUP 2014 AIDA,Russian Federation
11114,roman UVAROV ,3:46,90,45,0,13/04/2014,AIDA CYRPUS POOL GAMES 2014,Russian Federation
11115,Marcus GÃƒÂ¶TLING ,3:46,121,45,0,28/03/2015,Svenska herr mÃƒÂ_sterskapen poolfridykning 2015,Sweden
11116,Raquel RACHE ,3:46,120,45,0,11/05/2015,Deja Blue VI,Brazil
11117,Evgeny RASTORGUEV ,3:46,30,45,0,23/05/2015,Ukrainian Freediving Pool Championship 2015,Ukraine
11118,Kim Seng TEOH ,3:46,210,45,0,9/09/2012,World Championship 2012,Malaysia
11119,Lucelle Simms ,3:46,60,45,0,23/03/2013,o2Hero Static competition,United Kingdom
11120,Isabelle HERMAND ,3:45,0,45,0,6/04/2002,Stage 3 of the 2002 Belgium Cup,Belgium
11121,Johann MOLS ,3:45,270,38,8,18/05/2003,Round 4 of the Belgium Cup 2003,Belgium
